,0,1,2
0,2050.0,2048.0,0.0
1,2051.0,2049.0,1.0
2,2053.0,2.0,3.0
3,2055.0,2052.0,4.0
4,4111.0,2054.0,5.0
5,2065.0,8.0,6.0
6,2068.0,2056.0,7.0
7,2069.0,2057.0,9.0
8,2074.0,2058.0,10.0
9,2079.0,12.0,11.0
10,2083.0,2059.0,13.0
11,2086.0,2061.0,14.0
12,2087.0,2062.0,15.0
13,2088.0,2063.0,16.0
14,2089.0,17.0,18.0
15,2090.0,2064.0,19.0
16,2091.0,2066.0,20.0
17,2092.0,2067.0,21.0
18,2093.0,4112.0,22.0
19,46.0,2070.0,23.0
20,2097.0,2071.0,24.0
21,52.0,25.0,29.0
22,2100.0,26.0,31.0
23,2102.0,27.0,34.0
24,2104.0,28.0,35.0
25,2106.0,2073.0,37.0
26,2107.0,30.0,39.0
27,2108.0,2075.0,41.0
28,2111.0,32.0,45.0
29,2113.0,33.0,47.0
30,2114.0,2077.0,50.0
31,68.0,2078.0,55.0
32,2116.0,36.0,57.0
33,70.0,2081.0,59.0
34,2118.0,38.0,66.0
35,2119.0,2084.0,67.0
36,2120.0,40.0,72.0
37,2121.0,42.0,74.0
38,75.0,43.0,77.0
39,76.0,44.0,83.0
40,2122.0,2094.0,86.0
41,78.0,48.0,95.0
42,2123.0,49.0,96.0
43,2124.0,2096.0,97.0
44,2125.0,51.0,99.0
45,82.0,2099.0,104.0
46,2127.0,53.0,111.0
47,2129.0,54.0,112.0
48,85.0,2101.0,121.0
49,2130.0,56.0,125.0
50,2131.0,2103.0,128.0
51,2132.0,58.0,137.0
52,2133.0,2105.0,152.0
53,2137.0,60.0,153.0
54,2138.0,61.0,158.0
55,2140.0,62.0,160.0
56,93.0,63.0,163.0
57,2141.0,64.0,164.0
58,2142.0,65.0,165.0
59,2144.0,2109.0,170.0
60,98.0,2110.0,174.0
61,2146.0,2112.0,177.0
62,2147.0,69.0,182.0
63,2148.0,2115.0,187.0
64,2149.0,71.0,189.0
65,4090.0,2117.0,214.0
66,117.0,73.0,219.0
67,119.0,79.0,220.0
68,124.0,80.0,222.0
69,126.0,81.0,223.0
70,129.0,2128.0,225.0
71,131.0,84.0,233.0
72,134.0,2134.0,235.0
73,135.0,87.0,240.0
74,162.0,88.0,242.0
