,0,1,2,3
0,0.0,2.0,2049.0,2048.0
1,1.0,5.0,2050.0,2051.0
2,3.0,6.0,2054.0,2052.0
3,4.0,7.0,2056.0,2055.0
4,13.0,8.0,2057.0,2058.0
5,14.0,9.0,2061.0,2059.0
6,15.0,10.0,2062.0,2064.0
7,16.0,11.0,2063.0,2065.0
8,18.0,12.0,4111.0,2067.0
9,19.0,17.0,4112.0,2068.0
10,20.0,22.0,2066.0,2073.0
11,21.0,24.0,2069.0,2078.0
12,23.0,25.0,2070.0,2081.0
13,29.0,26.0,2071.0,36.0
14,34.0,27.0,2074.0,2084.0
15,39.0,28.0,2075.0,2087.0
16,41.0,2072.0,2077.0,2091.0
17,45.0,30.0,2079.0,44.0
18,47.0,31.0,2083.0,49.0
19,50.0,32.0,2086.0,2105.0
20,57.0,33.0,2088.0,60.0
21,66.0,4123.0,2089.0,61.0
22,70.0,35.0,2090.0,2109.0
23,72.0,4125.0,2092.0,2120.0
24,76.0,37.0,2093.0,2124.0
25,86.0,38.0,2094.0,90.0
26,95.0,4135.0,2096.0,92.0
27,97.0,40.0,2097.0,94.0
28,99.0,4136.0,52.0,100.0
29,104.0,42.0,2100.0,103.0
30,111.0,43.0,2103.0,106.0
31,112.0,4140.0,2104.0,4214.0
32,121.0,46.0,2106.0,122.0
33,125.0,4142.0,2107.0,123.0
34,128.0,48.0,2108.0,127.0
35,137.0,4145.0,2110.0,136.0
36,152.0,51.0,2111.0,145.0
37,153.0,2099.0,64.0,148.0
38,158.0,53.0,2112.0,151.0
39,162.0,54.0,2113.0,159.0
40,163.0,55.0,2114.0,168.0
41,164.0,56.0,68.0,171.0
42,165.0,2101.0,2115.0,175.0
43,169.0,58.0,2116.0,176.0
44,170.0,59.0,2117.0,178.0
45,177.0,4149.0,2118.0,180.0
46,182.0,4152.0,2119.0,183.0
47,184.0,62.0,2121.0,185.0
48,187.0,63.0,75.0,186.0
49,188.0,4155.0,2122.0,191.0
50,197.0,65.0,77.0,192.0
51,212.0,4157.0,78.0,193.0
52,214.0,67.0,79.0,194.0
53,219.0,4160.0,2123.0,195.0
54,220.0,69.0,2125.0,196.0
55,222.0,4162.0,2127.0,198.0
56,223.0,71.0,2128.0,200.0
57,225.0,4165.0,2129.0,201.0
58,233.0,73.0,2130.0,209.0
59,235.0,74.0,2131.0,210.0
60,240.0,4167.0,2132.0,211.0
61,242.0,4170.0,2133.0,213.0
62,252.0,80.0,2134.0,216.0
63,257.0,81.0,2135.0,217.0
64,287.0,82.0,2136.0,221.0
65,295.0,83.0,2137.0,224.0
66,304.0,84.0,2138.0,227.0
67,322.0,85.0,2139.0,231.0
68,347.0,4180.0,2140.0,232.0
69,350.0,87.0,2141.0,234.0
70,354.0,88.0,2142.0,238.0
71,357.0,89.0,2143.0,239.0
72,362.0,4182.0,2144.0,243.0
73,365.0,91.0,2145.0,245.0
74,374.0,4184.0,2146.0,248.0
75,382.0,93.0,2147.0,249.0
76,386.0,4185.0,2148.0,251.0
77,389.0,4187.0,2149.0,253.0
78,403.0,96.0,124.0,260.0
79,408.0,4188.0,126.0,261.0
80,419.0,98.0,129.0,263.0
81,427.0,4189.0,131.0,265.0
82,428.0,4190.0,134.0,266.0
83,445.0,101.0,166.0,4363.0
84,450.0,102.0,167.0,268.0
85,475.0,4191.0,172.0,270.0
86,478.0,2152.0,173.0,272.0
87,499.0,105.0,179.0,274.0
88,502.0,4194.0,181.0,276.0
89,535.0,107.0,190.0,277.0
90,538.0,108.0,199.0,278.0
91,562.0,109.0,202.0,279.0
92,570.0,110.0,203.0,4378.0
93,572.0,2155.0,204.0,4379.0
94,578.0,4199.0,205.0,285.0
95,658.0,113.0,206.0,286.0
96,667.0,114.0,207.0,4390.0
97,671.0,115.0,208.0,297.0
98,672.0,116.0,215.0,298.0
99,673.0,117.0,226.0,300.0
100,674.0,118.0,228.0,4397.0
101,677.0,119.0,229.0,302.0
102,678.0,120.0,230.0,4399.0
103,679.0,2161.0,236.0,305.0
104,680.0,2162.0,237.0,307.0
105,682.0,2166.0,241.0,4405.0
106,683.0,2170.0,244.0,312.0
107,691.0,4216.0,247.0,313.0
108,699.0,2174.0,250.0,4410.0
109,702.0,4218.0,254.0,315.0
110,704.0,4219.0,255.0,4414.0
111,706.0,2177.0,256.0,319.0
112,707.0,130.0,258.0,323.0
113,713.0,4220.0,259.0,4421.0
114,715.0,132.0,264.0,327.0
115,718.0,133.0,267.0,4423.0
116,719.0,2180.0,269.0,329.0
117,722.0,135.0,4367.0,330.0
118,723.0,2183.0,273.0,4428.0
119,724.0,2184.0,275.0,4429.0
120,725.0,138.0,280.0,4430.0
121,726.0,139.0,281.0,356.0
122,729.0,140.0,282.0,2412.0
123,731.0,141.0,283.0,367.0
124,732.0,142.0,284.0,373.0
125,735.0,143.0,288.0,378.0
126,736.0,144.0,290.0,2434.0
127,742.0,2188.0,291.0,391.0
128,743.0,146.0,292.0,394.0
129,744.0,147.0,293.0,2457.0
130,747.0,2189.0,294.0,410.0
131,748.0,149.0,296.0,414.0
132,749.0,150.0,299.0,418.0
133,750.0,2191.0,301.0,2472.0
134,757.0,2192.0,303.0,433.0
135,758.0,2196.0,306.0,439.0
136,759.0,154.0,309.0,440.0
137,760.0,155.0,310.0,2487.0
138,762.0,156.0,311.0,461.0
139,764.0,157.0,4408.0,491.0
140,765.0,2198.0,314.0,4596.0
