,0,1,2,3,4
0,2049.0,2048.0,0.0,2.0,5.0
1,2050.0,2052.0,1.0,1540.0,6.0
2,2051.0,1542.0,3.0,17.0,7.0
3,2054.0,2055.0,4.0,2579.0,8.0
4,2056.0,1545.0,13.0,2583.0,9.0
5,2057.0,522.0,14.0,2586.0,10.0
6,2061.0,2058.0,15.0,2590.0,11.0
7,2062.0,2059.0,16.0,2042.0,12.0
8,2063.0,1552.0,18.0,2600.0,4116.0
9,2064.0,2039.0,19.0,46.0,22.0
10,2065.0,533.0,20.0,2099.0,24.0
11,2066.0,1558.0,21.0,2101.0,25.0
12,2067.0,2073.0,23.0,1591.0,26.0
13,2068.0,1563.0,29.0,67.0,27.0
14,2069.0,2041.0,34.0,82.0,28.0
15,2070.0,2078.0,39.0,83.0,4123.0
16,2071.0,1570.0,41.0,2642.0,30.0
17,4111.0,1571.0,45.0,85.0,31.0
18,4112.0,36.0,47.0,4699.0,32.0
19,2074.0,2084.0,50.0,93.0,33.0
20,2075.0,2087.0,57.0,98.0,4125.0
21,2077.0,44.0,66.0,105.0,35.0
22,2079.0,1582.0,70.0,4715.0,37.0
23,2081.0,49.0,72.0,4209.0,38.0
24,2083.0,1588.0,76.0,115.0,4135.0
25,2086.0,53.0,86.0,117.0,40.0
26,2088.0,2615.0,95.0,119.0,4136.0
27,2089.0,1592.0,97.0,120.0,42.0
28,2090.0,1595.0,99.0,135.0,43.0
29,2091.0,60.0,104.0,1165.0,4140.0
30,2092.0,61.0,111.0,1180.0,4142.0
31,2093.0,1596.0,112.0,160.0,48.0
32,2094.0,1598.0,121.0,1189.0,4145.0
33,2096.0,2109.0,125.0,4264.0,51.0
34,2097.0,2619.0,128.0,1208.0,4149.0
35,52.0,1602.0,137.0,1211.0,54.0
36,2100.0,2620.0,152.0,189.0,55.0
37,2103.0,2626.0,153.0,1213.0,56.0
38,2104.0,1606.0,158.0,2239.0,4152.0
39,2105.0,1609.0,162.0,1217.0,58.0
40,2106.0,2634.0,163.0,709.0,59.0
41,2107.0,1612.0,164.0,711.0,4155.0
42,2108.0,2637.0,165.0,1226.0,4157.0
43,2110.0,1614.0,170.0,1227.0,62.0
44,2111.0,80.0,177.0,1229.0,63.0
45,64.0,81.0,182.0,4310.0,4160.0
46,2112.0,1618.0,184.0,727.0,65.0
47,2113.0,1619.0,187.0,733.0,4162.0
48,2114.0,2640.0,188.0,741.0,69.0
49,68.0,87.0,212.0,745.0,4165.0
50,2115.0,88.0,214.0,746.0,71.0
51,2116.0,1623.0,219.0,4335.0,4167.0
52,2117.0,90.0,220.0,752.0,73.0
53,2118.0,1624.0,222.0,753.0,74.0
54,2119.0,92.0,223.0,754.0,4170.0
55,2120.0,2649.0,225.0,755.0,84.0
56,75.0,94.0,233.0,756.0,4180.0
57,2121.0,2650.0,235.0,761.0,4182.0
58,77.0,100.0,240.0,766.0,4184.0
59,78.0,1636.0,242.0,772.0,89.0
60,79.0,1638.0,252.0,773.0,4185.0
61,2122.0,103.0,257.0,262.0,91.0
