,0,1,2,3,4,5
0,3.0,0.0,2.0,4.0,2816.0,2049.0
1,5.0,1.0,2052.0,15.0,769.0,2054.0
2,6.0,4097.0,1542.0,18.0,130.0,2056.0
3,7.0,4098.0,1544.0,20.0,772.0,2057.0
4,8.0,4102.0,1545.0,21.0,773.0,2059.0
5,9.0,4103.0,522.0,34.0,4358.0,2061.0
6,10.0,4104.0,2058.0,45.0,4360.0,2062.0
7,11.0,4105.0,1552.0,46.0,1165.0,2063.0
8,12.0,4106.0,2039.0,66.0,2831.0,2064.0
9,13.0,4108.0,1558.0,70.0,784.0,4111.0
10,14.0,4110.0,2073.0,72.0,17.0,2066.0
11,16.0,2076.0,1563.0,82.0,3727.0,2067.0
12,19.0,41.0,1570.0,83.0,4374.0,4112.0
13,22.0,2095.0,1571.0,85.0,2840.0,2069.0
14,23.0,76.0,36.0,93.0,793.0,2070.0
15,24.0,77.0,44.0,95.0,794.0,2071.0
16,25.0,2126.0,1588.0,98.0,2842.0,2074.0
17,26.0,86.0,53.0,99.0,157.0,2075.0
18,27.0,97.0,2615.0,104.0,4382.0,2077.0
19,28.0,111.0,1592.0,119.0,3745.0,2078.0
20,29.0,112.0,1595.0,121.0,805.0,2079.0
21,30.0,117.0,60.0,125.0,807.0,2081.0
22,31.0,4222.0,61.0,135.0,2856.0,2083.0
23,32.0,128.0,1596.0,137.0,1966.0,2086.0
24,33.0,158.0,1598.0,152.0,815.0,2088.0
25,35.0,162.0,2109.0,153.0,2351.0,2089.0
26,37.0,163.0,2619.0,164.0,3248.0,2090.0
27,38.0,169.0,2620.0,165.0,3251.0,2092.0
28,39.0,170.0,2626.0,182.0,822.0,2093.0
29,40.0,172.0,1609.0,183.0,1211.0,2094.0
30,42.0,177.0,2634.0,184.0,189.0,2096.0
31,43.0,187.0,1612.0,188.0,1983.0,49.0
32,47.0,197.0,1614.0,198.0,2370.0,2097.0
33,48.0,204.0,80.0,219.0,2882.0,52.0
34,50.0,212.0,2640.0,245.0,854.0,2100.0
35,51.0,214.0,1618.0,252.0,4699.0,2103.0
36,54.0,220.0,1619.0,257.0,2908.0,2104.0
37,55.0,222.0,87.0,279.0,3806.0,2105.0
38,56.0,223.0,88.0,295.0,3807.0,2106.0
39,57.0,225.0,1623.0,319.0,2402.0,2107.0
40,58.0,233.0,90.0,350.0,3427.0,2108.0
41,59.0,235.0,1624.0,389.0,3428.0,2110.0
42,62.0,237.0,92.0,402.0,3812.0,2111.0
43,63.0,240.0,2649.0,450.0,105.0,64.0
44,65.0,242.0,94.0,682.0,3437.0,2112.0
45,67.0,4340.0,100.0,697.0,2798.0,2113.0
46,69.0,4344.0,1636.0,699.0,115.0,2114.0
47,71.0,4346.0,1638.0,702.0,116.0,68.0
48,73.0,255.0,103.0,704.0,2803.0,2115.0
49,74.0,259.0,110.0,706.0,4726.0,2116.0
50,81.0,4355.0,113.0,707.0,120.0,2117.0
51,84.0,4366.0,1656.0,719.0,2685.0,2118.0
52,89.0,4367.0,122.0,722.0,766.0,2119.0
53,91.0,4370.0,123.0,723.0,1407.0,2120.0
54,96.0,281.0,127.0,724.0,,75.0
55,101.0,287.0,132.0,725.0,,2121.0
56,102.0,4387.0,136.0,726.0,,2122.0
57,107.0,292.0,138.0,727.0,,78.0
58,108.0,296.0,141.0,731.0,,79.0
59,109.0,4393.0,143.0,732.0,,2123.0
60,114.0,304.0,145.0,735.0,,2124.0
61,118.0,311.0,1682.0,736.0,,2125.0
62,133.0,314.0,148.0,741.0,,2127.0
63,139.0,4416.0,151.0,743.0,,2128.0
64,140.0,322.0,159.0,744.0,,2129.0
65,142.0,4419.0,168.0,745.0,,2130.0
66,144.0,324.0,175.0,746.0,,2131.0
67,146.0,4426.0,176.0,748.0,,2132.0
68,147.0,336.0,180.0,749.0,,2133.0
69,149.0,4433.0,1720.0,750.0,,2134.0
70,150.0,4434.0,185.0,752.0,,2135.0
71,154.0,339.0,186.0,753.0,,2136.0
72,155.0,340.0,3770.0,754.0,,2137.0
73,156.0,341.0,191.0,755.0,,2138.0
74,160.0,4435.0,192.0,758.0,,2139.0
75,161.0,4436.0,193.0,759.0,,2140.0
76,174.0,4437.0,194.0,760.0,,2141.0
77,289.0,4439.0,195.0,761.0,,2142.0
78,308.0,346.0,2239.0,762.0,,2143.0
79,671.0,347.0,200.0,763.0,,2144.0
80,673.0,354.0,201.0,764.0,,2145.0
81,674.0,357.0,210.0,765.0,,2146.0
82,675.0,362.0,213.0,776.0,,2147.0
83,676.0,364.0,216.0,777.0,,2148.0
84,677.0,365.0,217.0,780.0,,2149.0
85,678.0,367.0,218.0,782.0,,106.0
86,679.0,370.0,221.0,785.0,,124.0
87,680.0,371.0,224.0,787.0,,126.0
88,681.0,374.0,227.0,788.0,,129.0
89,683.0,382.0,234.0,790.0,,131.0
90,684.0,386.0,239.0,792.0,,134.0
91,685.0,390.0,1775.0,795.0,,166.0
92,686.0,403.0,756.0,796.0,,167.0
93,687.0,408.0,246.0,798.0,,171.0
94,688.0,2458.0,1273.0,800.0,,173.0
95,689.0,419.0,261.0,801.0,,178.0
96,690.0,2468.0,262.0,802.0,,179.0
97,691.0,427.0,266.0,804.0,,181.0
98,692.0,428.0,4363.0,808.0,,190.0
99,693.0,441.0,4365.0,810.0,,196.0
