,0,1,2,3,4,5,6
0,2049.0,2048.0,1536.0,4097.0,0.0,2.0,7.0
1,2054.0,2050.0,1539.0,4098.0,1.0,8.0,12.0
2,2057.0,2051.0,2052.0,4102.0,3.0,1544.0,17.0
3,2061.0,4.0,1541.0,4103.0,5.0,522.0,22.0
4,2062.0,2053.0,1542.0,4104.0,6.0,1545.0,25.0
5,2063.0,4099.0,2056.0,4105.0,9.0,2058.0,27.0
6,4111.0,2055.0,2059.0,4106.0,10.0,1552.0,28.0
7,4112.0,4101.0,1549.0,4108.0,11.0,2039.0,4125.0
8,2066.0,2060.0,2064.0,4110.0,13.0,1558.0,30.0
9,2069.0,2065.0,2067.0,2076.0,14.0,2073.0,32.0
10,2070.0,2068.0,1556.0,2080.0,15.0,26.0,33.0
11,2071.0,2072.0,533.0,2095.0,16.0,1563.0,38.0
12,2074.0,34.0,1559.0,66.0,18.0,1570.0,4135.0
13,2077.0,2082.0,1560.0,70.0,19.0,1571.0,40.0
14,2083.0,2085.0,2075.0,2126.0,20.0,36.0,4136.0
15,2088.0,2087.0,2078.0,86.0,21.0,44.0,42.0
16,2090.0,2089.0,1567.0,112.0,23.0,53.0,43.0
17,2092.0,46.0,2079.0,117.0,24.0,2615.0,48.0
18,2094.0,2098.0,545.0,121.0,29.0,56.0,51.0
19,2096.0,2099.0,1569.0,4222.0,31.0,1592.0,54.0
20,2097.0,2101.0,2081.0,128.0,35.0,1595.0,55.0
21,52.0,2102.0,2084.0,137.0,37.0,60.0,58.0
22,2100.0,76.0,1573.0,162.0,39.0,1596.0,62.0
23,2104.0,82.0,2086.0,163.0,41.0,2109.0,63.0
24,2106.0,83.0,1579.0,164.0,45.0,2619.0,65.0
25,2107.0,85.0,1580.0,170.0,47.0,1602.0,67.0
26,2110.0,4088.0,2091.0,177.0,50.0,2626.0,69.0
27,2111.0,93.0,2093.0,182.0,57.0,1606.0,71.0
28,64.0,98.0,2603.0,187.0,59.0,73.0,84.0
29,2112.0,99.0,49.0,214.0,72.0,1609.0,4185.0
30,2113.0,4091.0,1585.0,220.0,74.0,2634.0,91.0
31,2115.0,104.0,1588.0,222.0,95.0,1612.0,4188.0
32,68.0,119.0,1590.0,223.0,96.0,2637.0,4191.0
33,2117.0,125.0,2103.0,225.0,97.0,1614.0,4196.0
34,2118.0,135.0,1593.0,235.0,111.0,80.0,101.0
35,2121.0,152.0,2105.0,242.0,153.0,81.0,102.0
36,2122.0,2202.0,2108.0,4362.0,158.0,1618.0,4199.0
37,75.0,169.0,61.0,4366.0,165.0,2640.0,4200.0
38,2123.0,183.0,1598.0,4370.0,174.0,87.0,105.0
39,77.0,184.0,2620.0,4375.0,219.0,88.0,107.0
40,78.0,188.0,1600.0,4387.0,262.0,89.0,108.0
41,2125.0,197.0,2114.0,304.0,295.0,90.0,109.0
42,2127.0,212.0,2627.0,4411.0,450.0,1623.0,2155.0
43,2128.0,2285.0,2116.0,4417.0,578.0,92.0,4205.0
44,2129.0,245.0,1605.0,4419.0,671.0,1624.0,4209.0
45,2130.0,252.0,2119.0,4426.0,672.0,94.0,2162.0
46,2131.0,257.0,2120.0,4427.0,673.0,2649.0,115.0
47,2132.0,4359.0,1610.0,4433.0,674.0,1636.0,116.0
48,2133.0,4372.0,2124.0,4434.0,677.0,1638.0,2166.0
49,2134.0,4373.0,1613.0,4435.0,678.0,103.0,120.0
50,2135.0,2326.0,79.0,4436.0,679.0,1641.0,2177.0
51,2136.0,279.0,592.0,4437.0,680.0,106.0,130.0
52,2138.0,4379.0,1619.0,347.0,681.0,110.0,2180.0
53,2139.0,4381.0,1621.0,354.0,682.0,113.0,4228.0
54,2140.0,2336.0,2645.0,357.0,683.0,114.0,4231.0
55,2141.0,2337.0,2648.0,2406.0,686.0,4723.0,2184.0
56,2142.0,4385.0,1625.0,362.0,687.0,118.0,4233.0
57,2143.0,4386.0,1626.0,365.0,691.0,1655.0,139.0
58,2144.0,4388.0,2137.0,374.0,693.0,4214.0,2189.0
59,2145.0,4389.0,2651.0,382.0,696.0,122.0,4238.0
60,2146.0,4390.0,2654.0,389.0,698.0,123.0,4241.0
61,2147.0,4395.0,1631.0,2447.0,699.0,127.0,4245.0
62,2148.0,2349.0,2655.0,408.0,702.0,1663.0,150.0
63,2149.0,4398.0,100.0,2458.0,703.0,132.0,155.0
64,126.0,4402.0,1649.0,2463.0,704.0,133.0,2207.0
65,129.0,2355.0,1651.0,419.0,705.0,136.0,160.0
66,131.0,2358.0,1656.0,2469.0,706.0,138.0,161.0
67,134.0,4410.0,124.0,428.0,707.0,140.0,2211.0
68,166.0,2364.0,1670.0,2482.0,708.0,141.0,4264.0
69,167.0,318.0,1671.0,2488.0,709.0,142.0,4265.0
70,172.0,319.0,1672.0,2489.0,711.0,143.0,2219.0
71,179.0,4415.0,1674.0,2490.0,712.0,144.0,2220.0
72,181.0,322.0,1680.0,2491.0,713.0,145.0,4271.0
73,190.0,4418.0,1683.0,2524.0,714.0,146.0,4273.0
74,199.0,324.0,1687.0,478.0,715.0,147.0,4276.0
75,203.0,2374.0,1695.0,4578.0,718.0,148.0,4278.0
76,204.0,4422.0,1698.0,4581.0,719.0,149.0,4279.0
77,206.0,4424.0,1699.0,4584.0,720.0,1682.0,2235.0
78,207.0,2380.0,1700.0,4589.0,722.0,151.0,4284.0
79,208.0,4430.0,1705.0,4590.0,723.0,154.0,189.0
80,215.0,336.0,171.0,4592.0,725.0,156.0,2238.0
81,226.0,2387.0,173.0,4593.0,729.0,157.0,4287.0
82,229.0,341.0,1709.0,4594.0,732.0,159.0,2240.0
83,233.0,2392.0,1711.0,499.0,733.0,4257.0,2242.0
84,236.0,2396.0,178.0,4595.0,734.0,168.0,2243.0
85,237.0,350.0,1724.0,4597.0,735.0,175.0,4293.0
86,240.0,2398.0,1726.0,502.0,738.0,176.0,2247.0
87,244.0,2399.0,1728.0,4600.0,742.0,1715.0,4295.0
88,4340.0,2403.0,193.0,4601.0,744.0,180.0,4297.0
89,247.0,364.0,196.0,4603.0,747.0,1720.0,4300.0
