,0,1,2,3
0,2048.0,2.0,0.0,2049.0
1,2051.0,5.0,1.0,2050.0
2,2052.0,6.0,3.0,2054.0
3,2055.0,7.0,4.0,2056.0
4,2058.0,8.0,13.0,2057.0
5,2059.0,9.0,14.0,2061.0
6,2064.0,10.0,15.0,2062.0
7,2065.0,11.0,16.0,2063.0
8,2067.0,12.0,18.0,4111.0
9,2068.0,17.0,19.0,4112.0
10,2073.0,22.0,20.0,2066.0
11,2078.0,24.0,21.0,2069.0
12,2081.0,25.0,23.0,2070.0
13,36.0,26.0,29.0,2071.0
14,2084.0,27.0,34.0,2074.0
15,2087.0,28.0,39.0,2075.0
16,2091.0,2072.0,41.0,2077.0
17,49.0,30.0,45.0,2079.0
18,2103.0,31.0,47.0,2083.0
19,2105.0,32.0,50.0,2086.0
20,60.0,33.0,57.0,2088.0
21,61.0,4123.0,66.0,2089.0
22,2109.0,35.0,70.0,2090.0
23,2120.0,4125.0,72.0,2092.0
24,2124.0,37.0,76.0,2093.0
25,79.0,38.0,86.0,2094.0
26,2137.0,4135.0,95.0,2096.0
27,90.0,40.0,97.0,2097.0
28,92.0,4136.0,99.0,52.0
29,94.0,42.0,104.0,2100.0
30,100.0,43.0,111.0,2104.0
31,103.0,44.0,112.0,2106.0
32,106.0,4140.0,121.0,2107.0
33,4214.0,46.0,125.0,2108.0
34,122.0,4142.0,128.0,2110.0
35,123.0,48.0,137.0,2111.0
36,127.0,4145.0,152.0,64.0
37,136.0,51.0,153.0,2112.0
38,145.0,2099.0,158.0,2113.0
39,148.0,53.0,162.0,2114.0
40,151.0,54.0,163.0,68.0
41,159.0,55.0,164.0,2115.0
42,168.0,56.0,165.0,2116.0
43,171.0,2101.0,169.0,2117.0
44,175.0,58.0,170.0,2118.0
45,176.0,59.0,177.0,2119.0
46,178.0,4149.0,182.0,2121.0
47,180.0,4152.0,184.0,75.0
48,183.0,62.0,187.0,2122.0
49,185.0,63.0,188.0,77.0
50,186.0,4155.0,197.0,78.0
51,191.0,65.0,212.0,2123.0
52,192.0,4157.0,214.0,2125.0
53,193.0,67.0,219.0,2127.0
54,194.0,4160.0,220.0,2128.0
55,195.0,69.0,222.0,2129.0
56,196.0,4162.0,223.0,2130.0
57,198.0,71.0,225.0,2131.0
58,200.0,4165.0,233.0,2132.0
59,201.0,73.0,235.0,2133.0
60,205.0,74.0,240.0,2134.0
61,209.0,4167.0,242.0,2135.0
62,210.0,4170.0,252.0,2136.0
63,211.0,80.0,257.0,2138.0
64,216.0,81.0,287.0,2139.0
65,217.0,82.0,295.0,2140.0
66,224.0,83.0,304.0,2141.0
67,227.0,84.0,322.0,2142.0
68,231.0,85.0,347.0,2143.0
69,232.0,4180.0,350.0,2144.0
70,234.0,87.0,354.0,2145.0
71,238.0,88.0,357.0,2146.0
72,239.0,89.0,362.0,2147.0
73,243.0,4182.0,365.0,2148.0
74,245.0,91.0,374.0,2149.0
75,248.0,4184.0,382.0,124.0
76,249.0,93.0,386.0,126.0
77,251.0,4185.0,389.0,129.0
78,253.0,4187.0,403.0,131.0
79,260.0,96.0,408.0,134.0
80,261.0,4188.0,419.0,166.0
81,263.0,98.0,427.0,167.0
82,264.0,4189.0,428.0,172.0
83,265.0,4190.0,445.0,173.0
84,266.0,101.0,450.0,179.0
85,4363.0,102.0,475.0,181.0
86,268.0,4191.0,478.0,190.0
87,270.0,2152.0,499.0,199.0
88,272.0,105.0,502.0,202.0
89,274.0,4194.0,535.0,203.0
90,276.0,107.0,538.0,204.0
91,277.0,108.0,562.0,206.0
92,278.0,109.0,570.0,207.0
93,279.0,110.0,572.0,208.0
94,4378.0,2155.0,578.0,215.0
95,4379.0,4199.0,658.0,226.0
96,285.0,113.0,667.0,228.0
97,286.0,114.0,671.0,229.0
98,290.0,115.0,672.0,230.0
99,4390.0,116.0,673.0,236.0
100,297.0,117.0,674.0,237.0
101,298.0,118.0,677.0,241.0
102,300.0,119.0,678.0,244.0
103,4397.0,120.0,679.0,247.0
104,302.0,2161.0,680.0,250.0
105,4399.0,2162.0,682.0,254.0
106,305.0,2166.0,683.0,255.0
107,307.0,2170.0,691.0,256.0
108,4405.0,4216.0,699.0,258.0
109,312.0,2174.0,702.0,259.0
110,313.0,4218.0,704.0,267.0
111,4410.0,4219.0,706.0,269.0
112,315.0,2177.0,707.0,4367.0
113,4414.0,130.0,713.0,273.0
114,319.0,4220.0,715.0,275.0
115,323.0,132.0,718.0,280.0
116,4421.0,133.0,719.0,281.0
117,327.0,2180.0,722.0,282.0
118,4423.0,135.0,723.0,283.0
119,329.0,2183.0,724.0,284.0
120,330.0,2184.0,725.0,288.0
121,4428.0,138.0,726.0,291.0
122,4429.0,139.0,729.0,292.0
123,4430.0,140.0,731.0,293.0
