,0,1,2,3,4
0,2.0,2049.0,0.0,1536.0,5.0
1,1545.0,2052.0,3.0,1.0,6.0
2,36.0,2054.0,4.0,2048.0,7.0
3,41.0,2056.0,13.0,2050.0,8.0
4,44.0,2057.0,14.0,2051.0,9.0
5,46.0,2059.0,15.0,1549.0,10.0
6,53.0,2061.0,16.0,2065.0,11.0
7,60.0,2062.0,18.0,1556.0,12.0
8,67.0,2063.0,19.0,2068.0,2058.0
9,1624.0,2064.0,20.0,1559.0,17.0
10,2649.0,4111.0,21.0,538.0,4116.0
11,4699.0,2066.0,23.0,2074.0,22.0
12,94.0,2067.0,29.0,2083.0,24.0
13,98.0,4112.0,34.0,2088.0,25.0
14,105.0,2069.0,39.0,2089.0,26.0
15,4202.0,2070.0,45.0,2091.0,27.0
16,115.0,2071.0,47.0,1580.0,28.0
17,4726.0,2073.0,50.0,1581.0,4123.0
18,119.0,2075.0,57.0,1582.0,30.0
19,122.0,2077.0,66.0,2093.0,31.0
20,1663.0,2078.0,70.0,1584.0,32.0
21,127.0,2079.0,72.0,562.0,33.0
22,136.0,2081.0,76.0,52.0,4125.0
23,141.0,2084.0,82.0,2614.0,35.0
24,148.0,2086.0,83.0,2104.0,4127.0
25,3732.0,2090.0,85.0,572.0,37.0
26,4245.0,2092.0,86.0,1600.0,38.0
27,151.0,2094.0,93.0,2114.0,4132.0
28,3740.0,2096.0,95.0,1606.0,40.0
29,3745.0,49.0,97.0,1607.0,4134.0
30,168.0,2097.0,99.0,2119.0,42.0
31,4264.0,2100.0,104.0,2120.0,43.0
32,176.0,2103.0,111.0,588.0,4135.0
33,185.0,2105.0,112.0,1612.0,4136.0
34,186.0,2106.0,117.0,78.0,4140.0
35,1211.0,2107.0,121.0,2124.0,4142.0
36,3770.0,2108.0,125.0,2637.0,48.0
37,189.0,61.0,128.0,2129.0,4144.0
38,3795.0,2109.0,135.0,2645.0,4145.0
39,213.0,2110.0,137.0,1622.0,51.0
40,4310.0,64.0,152.0,2137.0,4146.0
41,216.0,2111.0,153.0,2650.0,4149.0
42,218.0,2112.0,158.0,1629.0,54.0
43,733.0,2113.0,162.0,2141.0,55.0
44,3806.0,68.0,164.0,2654.0,56.0
45,227.0,2115.0,165.0,2144.0,4150.0
46,739.0,2116.0,169.0,2655.0,58.0
47,3812.0,2117.0,170.0,2660.0,59.0
48,4335.0,2118.0,177.0,2662.0,4152.0
49,756.0,2121.0,182.0,106.0,4155.0
50,766.0,2122.0,184.0,1643.0,62.0
51,772.0,75.0,188.0,2671.0,63.0
52,261.0,2123.0,212.0,1649.0,4157.0
53,773.0,77.0,219.0,1655.0,65.0
54,4358.0,2125.0,222.0,124.0,4160.0
55,4360.0,79.0,223.0,131.0,4162.0
56,4365.0,2127.0,225.0,1672.0,69.0
57,784.0,2128.0,245.0,1674.0,4165.0
58,276.0,2130.0,252.0,1677.0,71.0
59,4374.0,2131.0,257.0,1678.0,4166.0
60,793.0,2132.0,262.0,1680.0,73.0
61,794.0,2133.0,295.0,1689.0,74.0
62,4382.0,2134.0,319.0,163.0,4167.0
63,805.0,2135.0,322.0,1700.0,4170.0
64,807.0,2136.0,347.0,1705.0,4174.0
65,300.0,90.0,350.0,179.0,80.0
66,4397.0,2138.0,354.0,183.0,81.0
67,815.0,92.0,357.0,187.0,84.0
68,307.0,2139.0,362.0,197.0,4180.0
69,821.0,2140.0,382.0,1741.0,4181.0
