,0,1,2,3,4,5
0,1536.0,2048.0,3.0,7.0,0.0,1.0
1,2.0,1537.0,5.0,8.0,4.0,2049.0
2,2052.0,2050.0,6.0,9.0,15.0,2054.0
3,1542.0,2051.0,10.0,12.0,18.0,2056.0
4,1544.0,1540.0,11.0,22.0,20.0,2057.0
5,1545.0,1541.0,13.0,25.0,34.0,2059.0
6,522.0,4099.0,14.0,26.0,45.0,2061.0
7,2058.0,2055.0,16.0,27.0,46.0,2062.0
8,1552.0,4101.0,17.0,28.0,66.0,2063.0
9,2039.0,4616.0,19.0,4125.0,70.0,2064.0
10,1558.0,1548.0,21.0,30.0,76.0,4111.0
11,1559.0,1551.0,23.0,32.0,82.0,2066.0
12,2073.0,2065.0,24.0,33.0,83.0,2067.0
13,1563.0,1554.0,29.0,38.0,85.0,4112.0
14,1570.0,1556.0,31.0,4135.0,86.0,2069.0
15,1571.0,2068.0,35.0,40.0,93.0,2070.0
16,36.0,538.0,37.0,4136.0,95.0,2071.0
17,2084.0,1562.0,39.0,42.0,97.0,2075.0
18,44.0,2074.0,41.0,43.0,98.0,2077.0
19,1588.0,2080.0,47.0,48.0,99.0,2078.0
20,53.0,1572.0,50.0,51.0,104.0,2079.0
21,2615.0,1575.0,55.0,4149.0,112.0,2081.0
22,1592.0,2087.0,57.0,54.0,117.0,2083.0
23,1595.0,2088.0,67.0,56.0,119.0,2086.0
24,60.0,2089.0,69.0,58.0,121.0,2090.0
25,61.0,2091.0,72.0,59.0,125.0,2092.0
26,1596.0,1580.0,74.0,4155.0,128.0,2094.0
27,1598.0,2093.0,96.0,62.0,135.0,2096.0
28,2109.0,1582.0,105.0,63.0,137.0,49.0
29,2619.0,2095.0,111.0,65.0,152.0,2097.0
30,1602.0,1584.0,115.0,4162.0,158.0,52.0
31,2620.0,2602.0,120.0,71.0,162.0,2100.0
32,2626.0,562.0,153.0,73.0,163.0,2103.0
33,1609.0,1589.0,160.0,84.0,164.0,2105.0
34,2634.0,2102.0,174.0,4184.0,165.0,2106.0
35,1612.0,2614.0,189.0,89.0,169.0,2107.0
36,2637.0,2104.0,218.0,91.0,170.0,2108.0
37,1614.0,2616.0,219.0,4188.0,177.0,2110.0
38,80.0,570.0,671.0,4191.0,182.0,2111.0
39,81.0,1600.0,672.0,4196.0,183.0,64.0
40,1618.0,2624.0,673.0,101.0,184.0,2112.0
41,1619.0,2114.0,674.0,102.0,187.0,2113.0
42,2640.0,2625.0,677.0,4199.0,188.0,2115.0
43,87.0,1605.0,678.0,4200.0,197.0,68.0
44,88.0,1606.0,679.0,4202.0,212.0,2116.0
45,1623.0,1607.0,680.0,107.0,225.0,2117.0
46,90.0,2119.0,681.0,108.0,245.0,2118.0
47,1624.0,2120.0,683.0,109.0,252.0,2121.0
48,92.0,2630.0,684.0,2155.0,257.0,2122.0
49,2648.0,1611.0,686.0,4205.0,262.0,75.0
50,94.0,2124.0,687.0,2161.0,279.0,2123.0
51,2649.0,1613.0,691.0,114.0,295.0,77.0
52,100.0,2126.0,693.0,2162.0,322.0,78.0
53,1636.0,1616.0,696.0,116.0,324.0,79.0
54,1638.0,2129.0,698.0,2166.0,336.0,2125.0
55,103.0,2641.0,700.0,2174.0,347.0,2127.0
56,1641.0,2645.0,701.0,2177.0,350.0,2128.0
57,106.0,1622.0,702.0,130.0,354.0,2130.0
58,110.0,2650.0,703.0,2180.0,357.0,2131.0
59,113.0,2652.0,704.0,4228.0,374.0,2132.0
60,4723.0,1629.0,705.0,2183.0,386.0,2133.0
61,118.0,2653.0,706.0,2184.0,389.0,2134.0
62,4214.0,2654.0,708.0,4231.0,402.0,2135.0
63,1656.0,2655.0,709.0,4233.0,408.0,2136.0
64,122.0,1633.0,710.0,139.0,450.0,2137.0
65,123.0,2659.0,711.0,2189.0,572.0,2138.0
66,127.0,2660.0,712.0,142.0,578.0,2139.0
67,1663.0,1637.0,714.0,4238.0,667.0,2140.0
68,132.0,1642.0,715.0,146.0,682.0,2141.0
69,133.0,1643.0,717.0,147.0,697.0,2142.0
70,136.0,2666.0,718.0,2196.0,699.0,2143.0
71,138.0,4716.0,719.0,149.0,707.0,2144.0
72,140.0,2670.0,720.0,150.0,713.0,2145.0
73,141.0,2671.0,722.0,155.0,723.0,2146.0
74,143.0,2672.0,729.0,157.0,724.0,2147.0
75,144.0,3697.0,732.0,2205.0,725.0,2148.0
76,145.0,1650.0,733.0,2206.0,726.0,2149.0
77,1682.0,1655.0,734.0,2207.0,727.0,124.0
78,148.0,1660.0,738.0,161.0,731.0,126.0
79,151.0,4733.0,739.0,4265.0,735.0,4222.0
80,154.0,1665.0,740.0,2219.0,736.0,129.0
81,156.0,4740.0,747.0,2220.0,741.0,131.0
82,159.0,1669.0,758.0,4271.0,742.0,134.0
83,4257.0,4606.0,759.0,4273.0,743.0,166.0
84,168.0,1672.0,765.0,4276.0,744.0,167.0
85,1705.0,1674.0,766.0,4278.0,745.0,171.0
86,175.0,1676.0,768.0,4279.0,746.0,172.0
87,176.0,1677.0,769.0,2235.0,748.0,173.0
88,1715.0,1678.0,771.0,4284.0,749.0,178.0
89,180.0,1680.0,772.0,2238.0,750.0,179.0
90,1720.0,658.0,773.0,2240.0,752.0,181.0
91,185.0,1688.0,774.0,2242.0,753.0,190.0
92,186.0,1689.0,779.0,2243.0,754.0,196.0
93,191.0,1700.0,784.0,4293.0,755.0,199.0
94,192.0,1714.0,786.0,4295.0,757.0,202.0
95,193.0,3769.0,794.0,4297.0,760.0,203.0
96,194.0,1722.0,805.0,4299.0,761.0,204.0
97,195.0,1731.0,806.0,4300.0,762.0,205.0
98,2239.0,1732.0,807.0,4301.0,763.0,206.0
99,198.0,1733.0,817.0,2254.0,764.0,207.0
100,200.0,1226.0,822.0,4302.0,767.0,208.0
101,201.0,1739.0,823.0,2259.0,770.0,209.0
102,210.0,3786.0,854.0,4312.0,776.0,211.0
103,1746.0,1741.0,866.0,4315.0,777.0,215.0
104,213.0,1743.0,878.0,2268.0,778.0,226.0
105,216.0,1234.0,880.0,4316.0,780.0,228.0
106,217.0,1748.0,979.0,2270.0,782.0,229.0
107,221.0,3796.0,980.0,4318.0,785.0,230.0
108,224.0,214.0,981.0,4321.0,787.0,231.0
109,4320.0,3799.0,982.0,2277.0,788.0,232.0
