,0,1,2,3,4,5,6
0,2.0,2050.0,1.0,4099.0,8.0,0.0,2048.0
1,1545.0,2051.0,4097.0,4.0,1544.0,3.0,2049.0
2,522.0,4111.0,4098.0,2053.0,2568.0,5.0,2052.0
3,2058.0,2065.0,4102.0,4101.0,2569.0,6.0,2054.0
4,1552.0,2068.0,4103.0,2055.0,12.0,7.0,2056.0
5,2039.0,2074.0,4104.0,4107.0,17.0,9.0,2057.0
6,1558.0,2083.0,4105.0,2060.0,25.0,10.0,2059.0
7,2073.0,2088.0,4106.0,2072.0,26.0,11.0,2061.0
8,1563.0,2089.0,4108.0,34.0,27.0,13.0,2062.0
9,1570.0,2090.0,4110.0,2082.0,3614.0,14.0,2063.0
10,1571.0,2091.0,18.0,2085.0,38.0,15.0,2064.0
11,36.0,2093.0,2076.0,2087.0,40.0,16.0,4112.0
12,44.0,52.0,2080.0,46.0,42.0,19.0,2066.0
13,1582.0,2104.0,45.0,2098.0,43.0,20.0,2067.0
14,53.0,2107.0,2095.0,2102.0,48.0,21.0,2069.0
15,2615.0,2108.0,2126.0,66.0,51.0,22.0,2070.0
16,1592.0,2111.0,86.0,70.0,2099.0,23.0,2071.0
17,1595.0,2114.0,95.0,76.0,2101.0,24.0,2075.0
18,60.0,2118.0,112.0,82.0,54.0,28.0,2077.0
19,1596.0,2119.0,4222.0,83.0,3637.0,29.0,2078.0
20,2109.0,2120.0,128.0,85.0,56.0,30.0,2079.0
21,2619.0,2121.0,158.0,4088.0,58.0,31.0,2081.0
22,1602.0,2122.0,163.0,93.0,62.0,32.0,2084.0
23,1609.0,75.0,170.0,98.0,63.0,33.0,2086.0
24,2634.0,77.0,172.0,99.0,3647.0,35.0,2092.0
25,1612.0,78.0,177.0,4091.0,65.0,37.0,2094.0
26,2637.0,2125.0,187.0,104.0,2626.0,39.0,2096.0
27,1614.0,2127.0,214.0,117.0,71.0,41.0,49.0
28,80.0,2129.0,220.0,119.0,73.0,47.0,2097.0
