,0,1,2,3
0,2048.0,2050.0,0.0,1.0
1,2.0,2051.0,3.0,2049.0
2,2052.0,1549.0,4.0,2054.0
3,8.0,2065.0,5.0,2056.0
4,2058.0,1556.0,6.0,2057.0
5,2059.0,2068.0,7.0,2061.0
6,12.0,1559.0,9.0,2062.0
7,17.0,538.0,10.0,2063.0
8,25.0,2074.0,11.0,2064.0
9,26.0,2083.0,13.0,4111.0
10,27.0,2088.0,14.0,2066.0
11,28.0,2089.0,15.0,2067.0
12,2073.0,2091.0,16.0,4112.0
13,30.0,1580.0,18.0,2069.0
14,2078.0,1581.0,19.0,2070.0
15,32.0,1582.0,20.0,2071.0
16,2081.0,2093.0,21.0,2075.0
17,36.0,1584.0,22.0,2077.0
18,2084.0,562.0,23.0,2079.0
19,38.0,2614.0,24.0,2086.0
20,40.0,2104.0,29.0,2090.0
21,41.0,570.0,31.0,2092.0
22,42.0,572.0,33.0,2094.0
23,43.0,2108.0,34.0,2096.0
24,44.0,1600.0,35.0,2097.0
25,48.0,2114.0,37.0,52.0
26,49.0,2116.0,39.0,2100.0
27,51.0,1607.0,45.0,2103.0
28,53.0,2119.0,46.0,2106.0
29,54.0,2120.0,47.0,2107.0
30,55.0,588.0,50.0,2110.0
31,56.0,2124.0,57.0,2111.0
32,2105.0,78.0,59.0,64.0
33,58.0,2127.0,66.0,2112.0
34,60.0,2129.0,67.0,2113.0
35,61.0,2133.0,70.0,2115.0
36,62.0,1622.0,72.0,68.0
37,63.0,2645.0,74.0,2117.0
38,2109.0,2137.0,76.0,2118.0
39,65.0,2650.0,82.0,2121.0
40,69.0,1629.0,83.0,2122.0
41,71.0,2141.0,85.0,75.0
42,73.0,2654.0,86.0,2123.0
43,80.0,2144.0,93.0,77.0
44,81.0,2655.0,95.0,2125.0
45,84.0,2660.0,96.0,79.0
46,87.0,2662.0,97.0,2128.0
47,88.0,1643.0,98.0,2130.0
48,89.0,2671.0,99.0,2131.0
49,90.0,1649.0,104.0,2132.0
50,91.0,117.0,111.0,2134.0
51,92.0,124.0,112.0,2135.0
52,4188.0,131.0,119.0,2136.0
53,94.0,1672.0,121.0,2138.0
54,100.0,1674.0,125.0,2139.0
55,101.0,1677.0,128.0,2140.0
56,102.0,1689.0,135.0,2142.0
57,103.0,163.0,137.0,2143.0
58,4196.0,1700.0,152.0,2145.0
59,105.0,169.0,153.0,2146.0
60,106.0,172.0,158.0,2147.0
61,107.0,179.0,160.0,2148.0
62,108.0,183.0,162.0,2149.0
63,109.0,187.0,164.0,126.0
64,110.0,1213.0,165.0,4222.0
65,4205.0,197.0,170.0,129.0
66,113.0,1741.0,174.0,134.0
67,114.0,1743.0,177.0,166.0
68,115.0,1748.0,182.0,167.0
69,116.0,727.0,184.0,171.0
70,118.0,1239.0,188.0,173.0
71,4214.0,1242.0,189.0,181.0
72,120.0,225.0,212.0,190.0
73,122.0,1249.0,218.0,199.0
74,123.0,1250.0,219.0,202.0
75,127.0,1258.0,222.0,203.0
76,130.0,1268.0,223.0,204.0
77,132.0,1269.0,245.0,205.0
78,133.0,1270.0,252.0,206.0
79,4228.0,1272.0,257.0,207.0
80,136.0,1789.0,262.0,208.0
81,4233.0,1790.0,289.0,214.0
82,138.0,1791.0,295.0,215.0
83,139.0,1796.0,308.0,220.0
84,140.0,781.0,319.0,226.0
85,141.0,783.0,347.0,228.0
86,142.0,273.0,350.0,229.0
87,143.0,279.0,354.0,230.0
88,144.0,794.0,357.0,233.0
89,145.0,1820.0,362.0,235.0
90,146.0,803.0,386.0,236.0
91,147.0,1838.0,389.0,237.0
92,148.0,824.0,419.0,240.0
93,149.0,318.0,450.0,241.0
94,150.0,322.0,502.0,242.0
95,151.0,324.0,578.0,244.0
96,154.0,837.0,667.0,4340.0
97,155.0,1861.0,671.0,247.0
98,156.0,840.0,672.0,250.0
99,157.0,329.0,673.0,254.0
100,159.0,841.0,674.0,255.0
101,161.0,1353.0,675.0,256.0
102,4257.0,1868.0,676.0,258.0
103,168.0,846.0,677.0,259.0
104,4265.0,335.0,678.0,264.0
105,175.0,336.0,679.0,267.0
106,176.0,1871.0,680.0,269.0
107,4273.0,850.0,681.0,4367.0
108,178.0,341.0,682.0,274.0
109,180.0,853.0,683.0,275.0
110,4276.0,855.0,685.0,277.0
111,4278.0,859.0,686.0,280.0
112,185.0,860.0,687.0,281.0
113,186.0,863.0,688.0,282.0
114,4284.0,355.0,689.0,283.0
115,191.0,867.0,690.0,284.0
116,192.0,874.0,691.0,287.0
117,193.0,363.0,692.0,288.0
118,194.0,364.0,693.0,290.0
119,195.0,877.0,694.0,291.0
120,196.0,367.0,695.0,292.0
121,2239.0,1391.0,696.0,293.0
122,198.0,883.0,697.0,294.0
123,4295.0,374.0,698.0,296.0
124,200.0,1398.0,699.0,299.0
125,201.0,891.0,700.0,301.0
126,4297.0,382.0,701.0,303.0
127,4299.0,895.0,702.0,304.0
128,4301.0,900.0,703.0,306.0
129,2254.0,903.0,704.0,309.0
130,4302.0,906.0,705.0,310.0
131,209.0,402.0,706.0,311.0
132,210.0,919.0,707.0,4408.0
133,211.0,408.0,708.0,314.0
134,213.0,925.0,709.0,316.0
135,2263.0,926.0,710.0,317.0
136,216.0,1949.0,711.0,320.0
137,217.0,928.0,712.0,321.0
138,4315.0,930.0,713.0,325.0
139,221.0,933.0,714.0,326.0
140,224.0,934.0,715.0,328.0
141,4320.0,2472.0,716.0,331.0
142,227.0,938.0,717.0,332.0
143,231.0,942.0,718.0,333.0
144,232.0,2480.0,719.0,334.0
145,234.0,945.0,720.0,4428.0
146,238.0,946.0,721.0,337.0
147,239.0,952.0,722.0,338.0
148,4336.0,954.0,723.0,339.0
149,243.0,955.0,724.0,340.0
150,4339.0,956.0,725.0,342.0
151,246.0,959.0,726.0,343.0
152,248.0,960.0,728.0,344.0
153,249.0,1475.0,729.0,345.0
154,251.0,964.0,730.0,346.0
155,253.0,967.0,731.0,4439.0
156,260.0,968.0,732.0,348.0
157,261.0,969.0,733.0,349.0
158,4358.0,970.0,734.0,351.0
159,263.0,971.0,735.0,352.0
160,2312.0,973.0,736.0,353.0
161,265.0,974.0,737.0,358.0
162,266.0,1998.0,738.0,359.0
163,4363.0,976.0,739.0,360.0
164,268.0,977.0,741.0,361.0
165,4365.0,2007.0,742.0,365.0
166,270.0,2025.0,743.0,366.0
167,271.0,492.0,744.0,368.0
168,272.0,2031.0,745.0,369.0
169,276.0,2036.0,746.0,370.0
170,278.0,,747.0,371.0
171,4378.0,,748.0,372.0
172,4379.0,,749.0,375.0
173,4380.0,,750.0,376.0
174,285.0,,752.0,377.0
175,286.0,,753.0,379.0
176,297.0,,754.0,380.0
177,298.0,,755.0,381.0
178,300.0,,757.0,383.0
179,4397.0,,758.0,384.0
180,302.0,,759.0,385.0
181,4399.0,,760.0,387.0
182,305.0,,761.0,388.0
183,307.0,,762.0,390.0
184,4405.0,,763.0,392.0
185,312.0,,764.0,393.0
186,313.0,,765.0,396.0
187,315.0,,766.0,397.0
188,4414.0,,767.0,398.0
189,323.0,,768.0,399.0
190,4421.0,,770.0,400.0
191,327.0,,771.0,401.0
192,4423.0,,773.0,403.0
193,330.0,,774.0,404.0
194,2378.0,,775.0,405.0
195,4429.0,,776.0,406.0
196,356.0,,777.0,407.0
197,2412.0,,778.0,409.0
198,373.0,,779.0,411.0
199,378.0,,780.0,412.0
200,2434.0,,782.0,413.0
201,391.0,,784.0,415.0
202,394.0,,785.0,416.0
203,395.0,,786.0,417.0
204,2457.0,,787.0,420.0
205,410.0,,788.0,421.0
206,414.0,,789.0,422.0
207,418.0,,790.0,423.0
208,433.0,,791.0,424.0
209,439.0,,792.0,425.0
210,440.0,,793.0,426.0
211,2487.0,,795.0,427.0
212,461.0,,796.0,428.0
213,491.0,,797.0,429.0
214,505.0,,798.0,430.0
215,522.0,,799.0,431.0
216,533.0,,800.0,432.0
217,2615.0,,801.0,434.0
218,2619.0,,802.0,435.0
219,2620.0,,804.0,436.0
220,2626.0,,805.0,437.0
221,2634.0,,806.0,438.0
222,2637.0,,807.0,2484.0
223,592.0,,808.0,441.0
224,2640.0,,809.0,442.0
225,2648.0,,810.0,443.0
226,2649.0,,811.0,444.0
227,4699.0,,812.0,445.0
228,4723.0,,813.0,446.0
229,684.0,,814.0,447.0
230,740.0,,815.0,448.0
231,751.0,,816.0,449.0
232,756.0,,817.0,451.0
233,769.0,,819.0,452.0
234,772.0,,820.0,453.0
235,818.0,,822.0,454.0
236,821.0,,823.0,455.0
237,830.0,,825.0,456.0
238,839.0,,826.0,457.0
239,845.0,,827.0,458.0
240,851.0,,828.0,459.0
241,854.0,,829.0,460.0
242,869.0,,831.0,462.0
243,873.0,,832.0,463.0
244,892.0,,833.0,464.0
245,893.0,,834.0,465.0
246,896.0,,835.0,466.0
247,909.0,,836.0,467.0
248,912.0,,838.0,468.0
249,1188.0,,842.0,469.0
250,1226.0,,843.0,470.0
251,1273.0,,844.0,471.0
252,1275.0,,847.0,472.0
253,1276.0,,848.0,473.0
254,1280.0,,849.0,474.0
255,1285.0,,852.0,475.0
256,1302.0,,857.0,476.0
257,1305.0,,861.0,477.0
258,1315.0,,862.0,478.0
259,1320.0,,865.0,479.0
260,1324.0,,866.0,480.0
261,1325.0,,868.0,481.0
262,1329.0,,870.0,482.0
263,1331.0,,871.0,483.0
264,1334.0,,872.0,484.0
265,1340.0,,875.0,485.0
266,1346.0,,876.0,486.0
267,1348.0,,878.0,487.0
268,1354.0,,879.0,488.0
269,1360.0,,880.0,489.0
270,1363.0,,882.0,490.0
271,1369.0,,884.0,493.0
272,1370.0,,885.0,494.0
273,1378.0,,886.0,495.0
274,1385.0,,887.0,496.0
275,1399.0,,888.0,497.0
276,1409.0,,889.0,498.0
277,1415.0,,890.0,499.0
278,1418.0,,898.0,500.0
279,1419.0,,899.0,501.0
280,1421.0,,901.0,503.0
281,1435.0,,902.0,504.0
282,1437.0,,904.0,506.0
283,1438.0,,905.0,507.0
284,1439.0,,907.0,508.0
285,1441.0,,908.0,509.0
286,1443.0,,910.0,510.0
287,1451.0,,913.0,511.0
288,1453.0,,914.0,512.0
289,1455.0,,915.0,513.0
290,1457.0,,916.0,514.0
291,1458.0,,917.0,515.0
292,1459.0,,920.0,516.0
293,1461.0,,921.0,517.0
294,1462.0,,922.0,518.0
295,1470.0,,924.0,519.0
296,1479.0,,927.0,520.0
297,1480.0,,929.0,521.0
298,1484.0,,931.0,523.0
299,1486.0,,932.0,524.0
300,1503.0,,936.0,525.0
301,1504.0,,939.0,526.0
302,1508.0,,940.0,527.0
303,1512.0,,941.0,528.0
304,1513.0,,943.0,529.0
305,1521.0,,944.0,530.0
306,1523.0,,947.0,531.0
307,1525.0,,950.0,532.0
308,1527.0,,951.0,534.0
309,1531.0,,953.0,535.0
310,1532.0,,963.0,536.0
311,1533.0,,975.0,537.0
312,1536.0,,978.0,539.0
313,1541.0,,979.0,540.0
314,1542.0,,980.0,541.0
315,1544.0,,981.0,542.0
316,1545.0,,982.0,543.0
317,1552.0,,983.0,544.0
318,1558.0,,984.0,545.0
319,1560.0,,985.0,546.0
320,1563.0,,986.0,547.0
321,3614.0,,987.0,548.0
322,1570.0,,988.0,549.0
323,1571.0,,989.0,550.0
324,1579.0,,990.0,551.0
325,1588.0,,991.0,552.0
326,1592.0,,992.0,553.0
327,1595.0,,993.0,554.0
328,1596.0,,994.0,555.0
329,1598.0,,995.0,556.0
330,1602.0,,996.0,557.0
331,1605.0,,997.0,558.0
332,1606.0,,998.0,559.0
333,1609.0,,999.0,560.0
334,1612.0,,1000.0,561.0
335,1614.0,,1001.0,2603.0
336,1618.0,,1002.0,563.0
337,1619.0,,1003.0,564.0
338,1623.0,,1004.0,565.0
339,1624.0,,1005.0,566.0
340,1636.0,,1006.0,567.0
341,1638.0,,1007.0,568.0
342,3686.0,,1008.0,569.0
343,1641.0,,1009.0,571.0
344,1655.0,,1010.0,573.0
345,1656.0,,1011.0,574.0
346,1663.0,,1012.0,575.0
347,1670.0,,1013.0,576.0
348,1678.0,,1014.0,577.0
349,1680.0,,1015.0,2622.0
350,1682.0,,1016.0,579.0
351,1683.0,,1017.0,580.0
352,1695.0,,1018.0,581.0
353,3745.0,,1019.0,582.0
354,1698.0,,1020.0,583.0
355,1705.0,,1021.0,584.0
356,1715.0,,1022.0,585.0
357,1720.0,,1023.0,586.0
358,1746.0,,1024.0,587.0
359,1775.0,,1025.0,2627.0
360,1788.0,,1026.0,589.0
361,1816.0,,1027.0,590.0
362,3881.0,,1028.0,591.0
363,1881.0,,1029.0,2632.0
364,1882.0,,1030.0,593.0
365,1888.0,,1031.0,594.0
366,1896.0,,1032.0,595.0
367,1905.0,,1033.0,596.0
368,1921.0,,1034.0,597.0
369,1932.0,,1035.0,598.0
370,1946.0,,1036.0,599.0
371,1947.0,,1037.0,600.0
372,1948.0,,1038.0,601.0
373,1952.0,,1039.0,602.0
374,1953.0,,1040.0,603.0
375,1956.0,,1041.0,604.0
376,1959.0,,1042.0,605.0
377,1962.0,,1043.0,606.0
378,1964.0,,1044.0,607.0
379,1968.0,,1045.0,608.0
380,1970.0,,1046.0,609.0
381,1971.0,,1047.0,610.0
382,1976.0,,1048.0,611.0
383,1979.0,,1049.0,612.0
384,1980.0,,1050.0,613.0
385,1982.0,,1051.0,614.0
386,1984.0,,1052.0,615.0
387,1985.0,,1053.0,616.0
388,1987.0,,1054.0,617.0
389,1988.0,,1055.0,618.0
390,1990.0,,1056.0,619.0
391,1992.0,,1057.0,620.0
392,1994.0,,1058.0,621.0
393,1995.0,,1059.0,622.0
394,1996.0,,1060.0,623.0
395,1999.0,,1061.0,624.0
396,2000.0,,1062.0,625.0
397,2003.0,,1063.0,626.0
398,2004.0,,1064.0,627.0
399,2005.0,,1065.0,628.0
400,2006.0,,1066.0,629.0
401,2014.0,,1067.0,630.0
402,2016.0,,1068.0,631.0
403,2021.0,,1069.0,632.0
404,2022.0,,1070.0,633.0
405,2024.0,,1071.0,634.0
406,2026.0,,1072.0,635.0
407,2027.0,,1073.0,636.0
408,2028.0,,1074.0,637.0
409,2030.0,,1075.0,638.0
410,2032.0,,1076.0,639.0
411,2033.0,,1077.0,640.0
412,2035.0,,1078.0,641.0
413,2037.0,,1079.0,642.0
414,2039.0,,1080.0,643.0
415,2041.0,,1081.0,644.0
416,2047.0,,1082.0,645.0
417,,,1083.0,646.0
418,,,1084.0,647.0
419,,,1085.0,648.0
420,,,1086.0,649.0
421,,,1087.0,650.0
422,,,1088.0,651.0
423,,,1089.0,652.0
424,,,1090.0,653.0
425,,,1091.0,654.0
426,,,1092.0,655.0
427,,,1093.0,656.0
428,,,1094.0,657.0
429,,,1095.0,658.0
430,,,1096.0,659.0
431,,,1097.0,660.0
432,,,1098.0,661.0
433,,,1099.0,662.0
434,,,1100.0,663.0
435,,,1101.0,664.0
436,,,1102.0,665.0
437,,,1103.0,666.0
438,,,1104.0,668.0
439,,,1105.0,669.0
440,,,1106.0,670.0
441,,,1107.0,4646.0
442,,,1108.0,856.0
443,,,1109.0,858.0
444,,,1110.0,864.0
445,,,1111.0,881.0
446,,,1112.0,894.0
447,,,1113.0,897.0
448,,,1114.0,911.0
449,,,1115.0,918.0
450,,,1116.0,923.0
451,,,1117.0,935.0
452,,,1118.0,937.0
453,,,1119.0,948.0
454,,,1120.0,949.0
455,,,1121.0,957.0
456,,,1122.0,958.0
457,,,1123.0,2633.0
458,,,1124.0,961.0
459,,,1125.0,962.0
460,,,1126.0,965.0
461,,,1127.0,966.0
462,,,1128.0,972.0
463,,,1129.0,2651.0
464,,,1130.0,2656.0
465,,,1131.0,2657.0
466,,,1132.0,2664.0
467,,,1133.0,2668.0
468,,,1134.0,2669.0
469,,,1135.0,2670.0
470,,,1136.0,2672.0
471,,,1137.0,1232.0
472,,,1138.0,4608.0
473,,,1139.0,1243.0
474,,,1140.0,1245.0
475,,,1141.0,1252.0
476,,,1142.0,1253.0
477,,,1143.0,1254.0
478,,,1144.0,1256.0
479,,,1145.0,1257.0
480,,,1146.0,1266.0
481,,,1147.0,1271.0
482,,,1148.0,1314.0
483,,,1149.0,1356.0
484,,,1150.0,1384.0
485,,,1151.0,1397.0
486,,,1152.0,1403.0
487,,,1153.0,1411.0
488,,,1154.0,1414.0
489,,,1155.0,1440.0
490,,,1156.0,1464.0
491,,,1157.0,1474.0
492,,,1158.0,1483.0
493,,,1159.0,1485.0
494,,,1160.0,1487.0
495,,,1161.0,1488.0
496,,,1162.0,1494.0
497,,,1163.0,1496.0
498,,,1164.0,1501.0
499,,,1165.0,1505.0
500,,,1166.0,1510.0
501,,,1167.0,1511.0
502,,,1168.0,1524.0
503,,,1169.0,1526.0
504,,,1170.0,1528.0
505,,,1171.0,1529.0
506,,,1172.0,1534.0
507,,,1173.0,1539.0
508,,,1174.0,1543.0
509,,,1175.0,1546.0
510,,,1176.0,1547.0
511,,,1177.0,1553.0
512,,,1178.0,1555.0
513,,,1179.0,1562.0
514,,,1180.0,1564.0
515,,,1181.0,1565.0
516,,,1182.0,1566.0
517,,,1183.0,1567.0
518,,,1184.0,1568.0
519,,,1185.0,1569.0
520,,,1186.0,1573.0
521,,,1187.0,1574.0
522,,,1189.0,1576.0
523,,,1190.0,1583.0
524,,,1191.0,1585.0
525,,,1192.0,1586.0
526,,,1193.0,1590.0
527,,,1194.0,1593.0
528,,,1195.0,1597.0
529,,,1196.0,1604.0
530,,,1197.0,1608.0
531,,,1198.0,1610.0
532,,,1199.0,1613.0
533,,,1200.0,1615.0
534,,,1201.0,1617.0
535,,,1202.0,1620.0
536,,,1203.0,1621.0
537,,,1204.0,1625.0
538,,,1205.0,1626.0
539,,,1206.0,1627.0
540,,,1207.0,1628.0
541,,,1208.0,1631.0
542,,,1209.0,1632.0
543,,,1210.0,1634.0
544,,,1211.0,1635.0
545,,,1212.0,1639.0
546,,,1214.0,1644.0
547,,,1215.0,1645.0
548,,,1216.0,1646.0
549,,,1217.0,1648.0
550,,,1218.0,1651.0
551,,,1219.0,1653.0
552,,,1220.0,1654.0
553,,,1221.0,1657.0
554,,,1222.0,1658.0
555,,,1223.0,1659.0
556,,,1224.0,1661.0
557,,,1225.0,1662.0
558,,,1227.0,1664.0
559,,,1228.0,1666.0
560,,,1229.0,1667.0
561,,,1230.0,1668.0
562,,,1231.0,1671.0
563,,,1233.0,1673.0
564,,,1234.0,1675.0
565,,,1235.0,1679.0
566,,,1236.0,1681.0
567,,,1237.0,1684.0
568,,,1238.0,1685.0
569,,,1240.0,1686.0
570,,,1241.0,1687.0
571,,,1244.0,1690.0
572,,,1246.0,1691.0
573,,,1247.0,1692.0
574,,,1248.0,1693.0
575,,,1251.0,1694.0
576,,,1255.0,1696.0
577,,,1259.0,1697.0
578,,,1260.0,1699.0
579,,,1261.0,1701.0
580,,,1262.0,1702.0
581,,,1263.0,1704.0
582,,,1264.0,1706.0
583,,,1265.0,1707.0
584,,,1267.0,1709.0
585,,,1274.0,1710.0
586,,,1277.0,1711.0
587,,,1278.0,1712.0
588,,,1279.0,1713.0
589,,,1281.0,1716.0
590,,,1282.0,1717.0
591,,,1283.0,1718.0
592,,,1284.0,1719.0
593,,,1286.0,1723.0
594,,,1287.0,1724.0
595,,,1288.0,1725.0
596,,,1289.0,1726.0
597,,,1290.0,1727.0
598,,,1291.0,1728.0
599,,,1292.0,1729.0
600,,,1293.0,1730.0
601,,,1294.0,1734.0
602,,,1295.0,1735.0
603,,,1296.0,1736.0
604,,,1297.0,1737.0
605,,,1298.0,1738.0
606,,,1299.0,1740.0
607,,,1300.0,1742.0
608,,,1301.0,1744.0
609,,,1303.0,1745.0
610,,,1304.0,1747.0
611,,,1306.0,1749.0
612,,,1307.0,1750.0
613,,,1308.0,1751.0
614,,,1309.0,1752.0
615,,,1310.0,1753.0
616,,,1311.0,1754.0
617,,,1312.0,1756.0
618,,,1313.0,1757.0
619,,,1316.0,1758.0
620,,,1317.0,1759.0
621,,,1318.0,1760.0
622,,,1319.0,1761.0
623,,,1321.0,1762.0
624,,,1322.0,1763.0
625,,,1323.0,1764.0
626,,,1326.0,1765.0
627,,,1327.0,1766.0
628,,,1328.0,1767.0
629,,,1330.0,1768.0
630,,,1332.0,1769.0
631,,,1333.0,1770.0
632,,,1335.0,1771.0
633,,,1336.0,1772.0
634,,,1337.0,1773.0
635,,,1338.0,1774.0
636,,,1339.0,1776.0
637,,,1341.0,1777.0
638,,,1342.0,1778.0
639,,,1343.0,1779.0
640,,,1344.0,1780.0
641,,,1345.0,1781.0
642,,,1347.0,1782.0
643,,,1349.0,1783.0
644,,,1350.0,1784.0
645,,,1351.0,1785.0
646,,,1352.0,1786.0
647,,,1355.0,1787.0
648,,,1357.0,1792.0
649,,,1358.0,1793.0
650,,,1359.0,1794.0
651,,,1361.0,1797.0
652,,,1362.0,1798.0
653,,,1364.0,1799.0
654,,,1365.0,1800.0
655,,,1366.0,1801.0
656,,,1367.0,1802.0
657,,,1368.0,1803.0
658,,,1371.0,1804.0
659,,,1372.0,1805.0
660,,,1373.0,1806.0
661,,,1374.0,1807.0
662,,,1375.0,1808.0
663,,,1376.0,1809.0
664,,,1377.0,1810.0
665,,,1379.0,1811.0
666,,,1380.0,1812.0
667,,,1381.0,1813.0
668,,,1382.0,1814.0
669,,,1383.0,1815.0
670,,,1386.0,1817.0
671,,,1387.0,1818.0
672,,,1388.0,1819.0
673,,,1389.0,1821.0
674,,,1390.0,1822.0
675,,,1392.0,1823.0
676,,,1393.0,1824.0
677,,,1394.0,1825.0
678,,,1395.0,1826.0
679,,,1396.0,1827.0
