,0,1,2,3,4,5
0,0.0,5.0,2050.0,2.0,2048.0,2049.0
1,1.0,6.0,2051.0,1545.0,4099.0,2052.0
2,3.0,7.0,4111.0,2058.0,4.0,2054.0
3,13.0,8.0,2068.0,1552.0,2053.0,2056.0
4,14.0,9.0,2074.0,2039.0,4101.0,2057.0
5,15.0,10.0,2083.0,1563.0,2055.0,2059.0
6,16.0,11.0,2088.0,1570.0,2060.0,2061.0
7,18.0,12.0,2089.0,1571.0,2065.0,2062.0
8,19.0,17.0,2090.0,36.0,2072.0,2063.0
9,20.0,4116.0,2091.0,44.0,34.0,2064.0
10,21.0,22.0,2093.0,53.0,2082.0,4112.0
11,23.0,24.0,52.0,2615.0,2085.0,2066.0
12,29.0,25.0,2104.0,1595.0,2087.0,2067.0
13,39.0,26.0,2106.0,1596.0,46.0,2069.0
14,41.0,27.0,2107.0,2619.0,2098.0,2070.0
15,45.0,28.0,2108.0,2626.0,2099.0,2071.0
16,47.0,4123.0,2111.0,1609.0,2101.0,2073.0
17,50.0,30.0,2114.0,2634.0,2102.0,2075.0
18,57.0,31.0,68.0,1612.0,82.0,2077.0
19,66.0,32.0,2118.0,2637.0,83.0,2078.0
20,70.0,33.0,2119.0,1614.0,85.0,2079.0
21,72.0,4125.0,2120.0,80.0,4088.0,2081.0
22,76.0,35.0,2121.0,81.0,93.0,2084.0
23,86.0,4127.0,2122.0,1618.0,98.0,2086.0
24,95.0,37.0,75.0,87.0,99.0,2092.0
25,97.0,38.0,2123.0,2649.0,4091.0,2094.0
26,111.0,4132.0,77.0,4699.0,104.0,2096.0
27,112.0,40.0,78.0,94.0,125.0,49.0
28,117.0,4134.0,2125.0,1638.0,152.0,2097.0
29,119.0,42.0,2127.0,103.0,2202.0,2100.0
30,121.0,43.0,2129.0,4202.0,169.0,2103.0
31,128.0,4135.0,2131.0,113.0,183.0,2105.0
32,135.0,4136.0,2132.0,4214.0,184.0,60.0
33,137.0,4140.0,2133.0,4726.0,188.0,61.0
34,153.0,4142.0,2138.0,122.0,197.0,2109.0
35,158.0,48.0,2140.0,127.0,219.0,2110.0
36,162.0,4144.0,2141.0,1663.0,2285.0,64.0
37,163.0,4145.0,2142.0,132.0,245.0,2112.0
38,164.0,51.0,2144.0,136.0,252.0,2113.0
39,165.0,4146.0,2146.0,138.0,257.0,2115.0
40,170.0,4149.0,2147.0,141.0,4356.0,2116.0
41,172.0,54.0,2149.0,143.0,4359.0,2117.0
42,177.0,55.0,124.0,145.0,4372.0,2124.0
43,182.0,56.0,126.0,148.0,2326.0,79.0
44,187.0,4150.0,129.0,159.0,279.0,2128.0
45,212.0,58.0,131.0,4257.0,4379.0,2130.0
46,214.0,59.0,134.0,168.0,4381.0,2134.0
47,220.0,4152.0,179.0,176.0,2337.0,2135.0
48,222.0,4155.0,190.0,3767.0,4385.0,2136.0
49,223.0,62.0,199.0,1720.0,4386.0,2137.0
50,225.0,63.0,203.0,185.0,4388.0,90.0
51,233.0,4156.0,204.0,186.0,4389.0,2139.0
52,235.0,65.0,208.0,3770.0,4390.0,92.0
53,240.0,4157.0,215.0,195.0,2343.0,2143.0
54,242.0,67.0,226.0,201.0,4392.0,2145.0
55,262.0,4160.0,229.0,210.0,2346.0,100.0
56,295.0,69.0,236.0,213.0,4395.0,2148.0
57,304.0,4162.0,237.0,216.0,2349.0,106.0
58,347.0,71.0,4340.0,218.0,4401.0,123.0
59,354.0,4165.0,247.0,221.0,4402.0,151.0
60,357.0,73.0,250.0,3806.0,2355.0,166.0
61,362.0,74.0,254.0,4320.0,4404.0,167.0
62,365.0,4166.0,255.0,227.0,2358.0,171.0
63,374.0,4167.0,258.0,756.0,4410.0,173.0
64,382.0,4170.0,259.0,1273.0,2364.0,175.0
65,389.0,4174.0,4367.0,3841.0,318.0,178.0
66,403.0,84.0,273.0,3843.0,319.0,180.0
67,408.0,4180.0,275.0,261.0,4415.0,181.0
68,419.0,4181.0,280.0,4358.0,322.0,191.0
69,427.0,4182.0,281.0,3847.0,4418.0,192.0
70,428.0,88.0,284.0,4360.0,324.0,193.0
71,450.0,89.0,287.0,4365.0,4420.0,194.0
72,478.0,4184.0,288.0,271.0,2374.0,196.0
73,499.0,91.0,292.0,276.0,4422.0,198.0
74,502.0,4185.0,294.0,3860.0,4424.0,200.0
75,538.0,4187.0,296.0,4373.0,4430.0,202.0
76,562.0,4188.0,301.0,4378.0,336.0,205.0
77,570.0,4189.0,306.0,4397.0,2387.0,206.0
78,572.0,96.0,311.0,4398.0,341.0,207.0
79,578.0,4190.0,314.0,307.0,2391.0,209.0
80,667.0,4191.0,316.0,1334.0,2392.0,211.0
81,671.0,4194.0,317.0,313.0,2393.0,217.0
82,672.0,4195.0,320.0,4414.0,2396.0,224.0
83,673.0,101.0,325.0,327.0,350.0,228.0
