,0,1,2,3,4,5,6
0,2049.0,4096.0,2048.0,4099.0,3586.0,2.0,0.0
1,2050.0,1.0,2052.0,4.0,2564.0,8.0,3.0
2,2051.0,4097.0,2056.0,2053.0,3590.0,1544.0,5.0
3,2054.0,4098.0,2057.0,4101.0,2568.0,12.0,6.0
4,2062.0,4102.0,2058.0,2055.0,2569.0,1552.0,7.0
5,2063.0,4103.0,2059.0,2060.0,2583.0,17.0,9.0
6,2064.0,4104.0,2061.0,2072.0,2585.0,25.0,10.0
7,2065.0,4105.0,2067.0,34.0,2586.0,26.0,11.0
8,2066.0,4106.0,2073.0,2082.0,27.0,1570.0,13.0
9,4111.0,4107.0,2078.0,2085.0,2587.0,38.0,14.0
10,2068.0,4108.0,2081.0,2087.0,30.0,43.0,15.0
11,2069.0,4110.0,36.0,2098.0,3614.0,46.0,16.0
12,2070.0,18.0,2084.0,2101.0,2599.0,51.0,19.0
13,2071.0,2076.0,44.0,2102.0,40.0,2099.0,20.0
14,4112.0,2080.0,2094.0,82.0,42.0,2615.0,21.0
15,2074.0,45.0,49.0,83.0,48.0,56.0,22.0
16,2075.0,2095.0,53.0,85.0,3637.0,58.0,23.0
17,2077.0,66.0,2103.0,4088.0,54.0,63.0,24.0
18,2079.0,4164.0,2105.0,93.0,3642.0,65.0,28.0
19,2083.0,70.0,60.0,98.0,62.0,2626.0,29.0
20,2086.0,76.0,61.0,99.0,3647.0,71.0,31.0
21,2088.0,2126.0,2109.0,4091.0,67.0,73.0,32.0
22,2089.0,86.0,2110.0,104.0,3656.0,2634.0,33.0
23,2090.0,95.0,64.0,125.0,3662.0,80.0,35.0
24,2091.0,4192.0,79.0,152.0,3663.0,81.0,37.0
25,2092.0,97.0,90.0,2202.0,4185.0,84.0,39.0
26,2093.0,112.0,92.0,169.0,4188.0,87.0,41.0
27,2096.0,117.0,94.0,183.0,4191.0,88.0,47.0
28,2097.0,119.0,100.0,184.0,3684.0,89.0,50.0
29,52.0,121.0,103.0,188.0,3686.0,91.0,55.0
30,2100.0,128.0,106.0,197.0,105.0,4699.0,57.0
31,2104.0,135.0,4214.0,2285.0,3690.0,101.0,59.0
32,2106.0,137.0,122.0,245.0,3692.0,102.0,69.0
33,2107.0,158.0,123.0,252.0,4205.0,107.0,72.0
34,2108.0,162.0,4222.0,257.0,3695.0,108.0,74.0
35,2111.0,163.0,127.0,4359.0,3696.0,109.0,96.0
36,2112.0,164.0,136.0,4372.0,4209.0,110.0,111.0
37,2113.0,170.0,145.0,4373.0,4720.0,113.0,153.0
38,2114.0,4268.0,148.0,2326.0,120.0,114.0,160.0
39,2115.0,177.0,151.0,4381.0,4228.0,115.0,165.0
40,68.0,182.0,159.0,2337.0,4233.0,116.0,174.0
41,2116.0,187.0,4257.0,4385.0,3724.0,118.0,189.0
42,2117.0,4286.0,167.0,4386.0,4241.0,4726.0,219.0
43,2118.0,212.0,168.0,4388.0,3732.0,130.0,289.0
44,2119.0,214.0,171.0,4389.0,4245.0,132.0,295.0
45,2120.0,220.0,173.0,4390.0,3745.0,133.0,671.0
46,2121.0,222.0,175.0,2343.0,1188.0,138.0,672.0
47,75.0,223.0,176.0,4395.0,4264.0,139.0,673.0
48,2122.0,225.0,178.0,2349.0,4265.0,140.0,674.0
49,77.0,233.0,180.0,4398.0,684.0,141.0,675.0
50,78.0,2286.0,181.0,4402.0,1196.0,142.0,676.0
51,2123.0,240.0,185.0,2355.0,1199.0,143.0,677.0
52,2124.0,2289.0,186.0,2358.0,689.0,144.0,678.0
53,2125.0,242.0,191.0,4410.0,690.0,146.0,679.0
54,2127.0,4340.0,192.0,319.0,692.0,147.0,680.0
55,2128.0,2295.0,193.0,4415.0,1204.0,149.0,681.0
56,2129.0,4350.0,194.0,322.0,3765.0,150.0,682.0
57,2130.0,262.0,195.0,4418.0,4278.0,154.0,683.0
58,2131.0,2314.0,196.0,4420.0,1208.0,155.0,685.0
59,2132.0,4362.0,198.0,2374.0,700.0,156.0,686.0
60,2133.0,4366.0,200.0,4422.0,4287.0,157.0,687.0
61,2134.0,4370.0,201.0,4424.0,1217.0,161.0,688.0
62,2135.0,4375.0,202.0,4430.0,4295.0,3770.0,691.0
63,2136.0,2333.0,205.0,2392.0,4297.0,2239.0,693.0
64,2137.0,2336.0,206.0,2396.0,716.0,1226.0,694.0
65,2138.0,4384.0,209.0,350.0,4301.0,4299.0,695.0
66,2139.0,4387.0,210.0,2398.0,2254.0,213.0,696.0
67,2140.0,2341.0,211.0,2416.0,4302.0,218.0,698.0
68,2141.0,4391.0,216.0,2419.0,721.0,3806.0,699.0
69,2142.0,4393.0,217.0,2421.0,2259.0,3807.0,701.0
70,2143.0,4394.0,221.0,2423.0,3795.0,3812.0,702.0
71,2144.0,2348.0,224.0,2428.0,4309.0,4336.0,703.0
72,2145.0,304.0,4320.0,2429.0,4310.0,756.0,704.0
73,2146.0,4403.0,227.0,2432.0,728.0,246.0,705.0
74,2147.0,2357.0,228.0,2433.0,4312.0,1276.0,706.0
75,2148.0,2362.0,230.0,386.0,730.0,1280.0,707.0
76,2149.0,4411.0,231.0,2435.0,4315.0,769.0,708.0
77,124.0,2364.0,232.0,2440.0,2268.0,3843.0,709.0
78,126.0,4413.0,234.0,2441.0,4316.0,772.0,710.0
79,129.0,4416.0,238.0,2444.0,737.0,4358.0,711.0
80,131.0,4417.0,239.0,2446.0,740.0,4360.0,712.0
81,134.0,4419.0,241.0,2449.0,4326.0,4365.0,714.0
82,166.0,2372.0,243.0,2453.0,745.0,271.0,715.0
83,172.0,2375.0,244.0,2464.0,4334.0,3860.0,717.0
84,179.0,2376.0,248.0,2465.0,751.0,1305.0,718.0
85,190.0,2377.0,249.0,2474.0,4335.0,794.0,719.0
86,199.0,4426.0,251.0,2475.0,4339.0,4380.0,720.0
87,203.0,2379.0,253.0,2479.0,4341.0,4382.0,722.0
88,204.0,2380.0,256.0,2520.0,763.0,1315.0,723.0
89,207.0,4427.0,260.0,2526.0,4347.0,805.0,729.0
90,208.0,4431.0,261.0,2527.0,2302.0,807.0,732.0
91,215.0,2385.0,263.0,4576.0,766.0,3881.0,733.0
92,226.0,4433.0,264.0,2533.0,4352.0,815.0,734.0
